etudiant_id,etudiant_prenom,etudiant_nom,etudiant_sexe,filieres_groupe_id
114,Rayan,Tabit,Homme,1
115,Kadija,Traoré,Femme,2
116,Khadija,Lamrani,Femme,1
117,Salim,Bous,Homme,1
118,Yacine,Zouhair,Homme,2
119,Hayat,Zoux,Femme,2
120,Boutaina,Jaouhari,Femme,2
121,Karima,Chraibi,Femme,2
122,Younes,Zoul,Homme,2
123,Lina,Tazi,Femme,2
124,Ndeye,Diallo,Femme,2
125,Yahya,El Mrabet,Homme,2
126,Thomas,Schmidt,Homme,2
127,Mbarek,Kharroubi,Homme,1
128,Amal,Demnati,Femme,2
129,Nisrine,Alaoui,Femme,1
130,Habiba,Zahir,Femme,1
131,Adil,Oulhaj,Homme,2
132,Aziz,Zoun,Homme,1
133,Idriss,Zoux,Homme,1
134,Hiba,Laraki,Femme,1
135,Saadia,Cheikh,Femme,1
136,Anas,Moujahid,Homme,2
137,Patricia,Ricci,Femme,2
138,Jihane,Aroui,Femme,1
139,Nabila,Mabrouk,Femme,1
140,Aya,Rais,Femme,2
141,Ahmed,Zoubir,Homme,1
142,Houssam,Zouw,Homme,1
143,Fayssal,Jebli,Homme,2
144,Salah,Wahbi,Homme,2
145,Chakib,Zouhair,Homme,1
146,Driss,Gharbaoui,Homme,2
147,Walid,Har,Homme,2
148,Zara,Oukacha,Femme,2
149,Aicha,Assou,Femme,1
150,Safia,Zoukh,Femme,1
151,Khadija,Touil,Femme,2
152,Latifa,Ouled,Femme,1
153,Lucas,Jones,Homme,1
154,Karima,Fassi,Femme,1
155,Khalid,Ouahbi,Homme,2
156,Zakaria,Amarir,Homme,1
157,Salim,Sebti,Homme,1
158,Ikram,Chaouni,Femme,2
159,Aziz,Habti,Homme,2
160,Soufiane,Rchid,Homme,1
161,Sanaa,Zoul,Femme,1
162,Yacine,Tazi,Homme,1
163,Nezha,Belkhadir,Femme,1
164,Fadwa,Bennani,Femme,1
165,Nabil,Tougi,Homme,2
166,Sidi,Said,Homme,1
167,Tidiane,Sow,Homme,1
168,Sofia,Bernard,Femme,2
169,Camille,Silva,Femme,1
170,Rachid,Cherkaoui,Homme,2
171,Abdoulaye,Sow,Homme,1
172,Hakim,Tourabi,Homme,1
173,Jihane,El Mrabet,Femme,1
174,Nathalie,Dubois,Femme,1
175,Badr,Saih,Homme,1
176,Mariama,Gueye,Femme,2
177,Zineb,Zniber,Femme,2
178,Abdessamad,Toufi,Homme,1
179,Manal,Roudani,Femme,1
180,Yousra,Touhi,Femme,1
181,Moussa,Diop,Homme,1
182,Nicolas,Lopez,Homme,1
183,Nisrine,Mechbal,Femme,2
184,Chaimae,Touhi,Femme,1
185,Abdessamad,Sahraoui,Homme,2
186,Mariam,Sabi,Femme,2
187,Salsabil,Zouitni,Femme,2
188,Othmane,Khalil,Homme,2
189,Jamal,Toufi,Homme,1
190,Khalid,Tazi,Homme,2
191,Malika,Touzy,Femme,2
192,Adam,Chraibi,Homme,1
193,Marouane,Smahi,Homme,2
194,Naima,Karam,Femme,1
195,Moussa,Gueye,Homme,2
196,Nezha,Ghomri,Femme,1
197,Latifa,Sefrioui,Femme,2
198,Saadia,Slaoui,Femme,1
199,Imad,Sabi,Homme,2
200,Haj,Khalil,Homme,1
201,Jean,Moreau,Homme,2
202,Zakaria,Nfissi,Homme,1
203,Bilal,Ouazzani,Homme,2
204,Aissatou,Konaté,Femme,1
205,Aziza,Sefrioui,Femme,1
206,Marouane,Bour,Homme,2
207,Samir,Smahi,Homme,1
208,Mustapha,Toumi,Homme,2
209,Carmen,Bernard,Femme,2
210,Khalid,Nacer,Homme,1
211,Ismail,Zaid,Homme,1
212,Khadidiatou,Sow,Femme,2
213,Rania,Iraqi,Femme,2
214,Zahra,Lahlou,Femme,1
215,Rokia,Touz,Femme,2
216,Latifa,Dlimi,Femme,2
217,Houda,Chrigui,Femme,2
218,Ines,Zouhair,Femme,1
219,Yousra,Qadiri,Femme,1
220,Khadija,Demnati,Femme,2
221,Moussa,Ba,Homme,2
222,Khadija,Radi,Femme,2
223,Sanaa,Saih,Femme,1
224,Aicha,Rmil,Femme,1
225,Zineb,Moujahid,Femme,1
226,Khadija,Khalil,Femme,2
227,Khadija,Laraki,Femme,1
228,Asma,Ouali,Femme,1
229,Hiba,El Yazidi,Femme,1
230,Hicham,Bahi,Homme,2
231,Moussa,Sebti,Homme,1
232,Driss,Rais,Homme,2
233,David,Martin,Homme,1
234,Khadidiatou,Sylla,Femme,1
235,Abdelali,Roudani,Homme,2
236,Touria,Joundy,Femme,1
237,Haj,Zouhir,Homme,1
238,Rokia,El Filali,Femme,1
239,Hayat,Zahri,Femme,1
240,Wafa,Touijer,Femme,1
241,Kader,Kane,Homme,1
242,Fayssal,Smahi,Homme,2
243,Samira,Zouro,Femme,2
244,Zineb,Bouzidi,Femme,1
245,Zara,Mabrouk,Femme,1
246,Rabia,Roudani,Femme,1
247,Ines,Cheikh,Femme,2
248,Rachid,Ghomri,Homme,1
249,Bouchra,Baraka,Femme,1
250,Amal,Habti,Femme,2
251,Rania,Nfissi,Femme,1
252,Nabila,Joundy,Femme,2
253,Ibrahim,Touzy,Homme,1
254,Noura,Zouz,Femme,2
255,Patricia,Rossi,Femme,1
256,Abdelkader,El Ghazaoui,Homme,2
257,Soukaina,Jabri,Femme,1
258,Malika,Zous,Femme,2
259,Sami,Sbaai,Homme,1
260,Aicha,Zniber,Femme,2
261,Awa,Camara,Femme,1
262,Amina,Bennani,Femme,1
263,Jihane,Samir,Femme,2
264,Ibrahim,Bouzoubaa,Homme,2
265,Said,Slaoui,Homme,1
266,Bouchra,Touba,Femme,2
267,Nadia,Chraibi,Femme,2
268,Imane,Zouine,Femme,2
269,Oussama,Touijer,Homme,2
270,Asma,Touhi,Femme,1
271,Fouad,Zoumir,Homme,1
272,Hafsa,Ouali,Femme,1
273,Sidi,Yousra,Homme,2
274,Halima,Ghomri,Femme,2
275,Moussa,Ouattara,Homme,1
276,Badr,Smahi,Homme,2
277,Boubacar,Coulibaly,Homme,1
278,Houssam,Sebti,Homme,1
279,Alexander,Johansson,Homme,2
280,Sami,Hammoudi,Homme,2
281,Khalida,Toumi,Femme,2
282,Said,Skalli,Homme,2
283,Douaa,Khalil,Femme,1
284,Ahlam,Rahmouni,Femme,2
285,Haj,Khalil,Homme,2
286,Issa,Touré,Homme,1
287,David,Moreau,Homme,1
288,Reda,Zouzz,Homme,2
289,Nadia,Tabit,Femme,2
290,Nezha,Said,Femme,1
291,Moussa,Sylla,Homme,1
292,Ilham,Bahi,Femme,2
293,Siham,Touzi,Femme,2
294,Othmane,Amarir,Homme,2
295,Ines,Niama,Femme,2
296,Naima,Dah,Femme,1
297,Mbayang,Sow,Femme,2
298,Samir,Khaldoune,Homme,1
299,Khalid,Oufkir,Homme,2
300,Larbi,Benkirane,Homme,1
301,Mohammed,Jebli,Homme,2
302,Tariq,Bahi,Homme,1
303,Anas,Oujdi,Homme,1
304,Karima,Zoumir,Femme,1
305,Ibrahim,Konaté,Homme,1
306,Sami,Doukkali,Homme,2
307,Ibrahim,Rchidi,Homme,2
308,Nora,Zaid,Femme,2
309,Adam,Sakhi,Homme,2
310,Badr,Mabrouk,Homme,2
311,Nafissatou,Camara,Femme,1
312,Safae,Naji,Femme,2
313,Zahia,Touzy,Femme,2
314,Reda,Bour,Homme,2
315,Anas,Nouaman,Homme,2
316,Marouane,Baraka,Homme,1
317,Hassan,Karam,Homme,2
318,Khadija,Zoul,Femme,2
319,Mehdi,El Mandjra,Homme,1
320,Yamina,Zerouali,Femme,2
321,Khadija,Mabrouk,Femme,1
322,Zineb,Mabrouk,Femme,1
323,Loubna,Habti,Femme,1
324,Hind,Bouzidi,Femme,1
325,Abdelali,Touil,Homme,2
326,Kader,Coulibaly,Homme,1
327,Aliou,Camara,Homme,2
328,Daniel,Laurent,Homme,2
329,Kader,Diop,Homme,2
330,Aziz,Zouhair,Homme,1
331,Ayoub,Mansouri,Homme,2
332,Houssam,Rguibi,Homme,1
333,Zouhair,Zoumar,Homme,2
334,Sanaa,Zerhouni,Femme,1
335,Zohra,El Hachimi,Femme,2
336,Rida,Zout,Homme,2
337,Hamza,Smahi,Homme,2
338,Aliou,Fall,Homme,2
339,Nabila,Zouhair,Femme,2
340,Said,Fassi,Homme,1
341,Malika,Toubi,Femme,2
342,Ayman,Jabri,Homme,2
343,Bouchra,Zouzz,Femme,2
344,Mariam,Bouhout,Femme,1
345,Abdou,Sefrioui,Homme,1
346,Amina,Mansouri,Femme,1
347,Narjis,Tahiri,Femme,1
348,Rania,Tlemsani,Femme,2
349,Naji,Hass,Homme,2
350,Karim,Mernissi,Homme,1
351,Hafsa,Tougi,Femme,2
352,Yassine,Mouline,Homme,2
353,Yousra,Kettani,Femme,1
354,Jamila,Mabrouk,Femme,2
355,Bintou,Sarr,Femme,2
356,Yacine,Jorio,Homme,2
357,Chaymae,Oulad,Femme,2
358,Hanane,Zouro,Femme,1
359,Nasser,Dahmani,Homme,2
360,Ghita,Bous,Femme,1
361,Naji,Slaoui,Homme,1
362,Yahya,Mabrouk,Homme,1
363,Soufiane,Fennir,Homme,2
364,Nathalie,Silva,Femme,2
365,Bouchra,Tabit,Femme,1
366,Houda,Zouitni,Femme,1
367,Samir,Zourk,Homme,1
368,Rachid,El Filali,Homme,1
369,Yacine,Has,Homme,1
370,Yasmina,Khaldoune,Femme,2
371,Touria,Tijarti,Femme,1
372,Loubna,Dahmani,Femme,2
373,Khalid,Ouled,Homme,2
374,Karim,Sassi,Homme,1
375,Abdou,Bouaouina,Homme,1
376,Marwa,Ghomri,Femme,1
377,Rachida,Bennani,Femme,1
378,Habiba,Tazi,Femme,1
379,Latifa,Daoudi,Femme,2
380,Mame,Diaw,Femme,1
381,Widad,Oufkir,Femme,1
382,Abdallah,Bourkadi,Homme,1
383,Widad,Zouhir,Femme,2
384,Ayman,Zoun,Homme,2
385,Yahya,Has,Homme,1
386,Nafissatou,Touré,Femme,2
387,Loubna,Smahi,Femme,1
388,Taoufik,Hammoudi,Femme,2
389,Rabia,Abid,Femme,1
390,Karim,Mouline,Homme,1
391,Anas,Roudani,Homme,2
392,Ilyas,Said,Homme,2
393,Mariam,Amrani,Femme,2
394,Ibrahim,Zoul,Homme,2
395,Kader,Camara,Homme,2
396,Samir,Bouk,Homme,2
397,Mbarek,Bout,Homme,1
398,Abderrahmane,Atou,Homme,1
399,Hamza,Naji,Homme,1
400,Nabil,Lahcen,Homme,1
401,Douaa,Touijer,Femme,1
402,Claire,Lopez,Femme,1
403,Nora,El Fassi,Femme,2
404,Salma,Tazi,Femme,1
405,Khalida,Loukili,Femme,1
406,Noureddine,El Ghalbi,Homme,1
407,Yacine,Abid,Homme,1
408,Nabil,Touahri,Homme,1
409,Amin,Has,Homme,1
410,Mansour,Zoupi,Homme,1
411,Rokia,Alaoui,Femme,2
412,Claire,Laurent,Femme,1
413,Nisrine,Rifi,Femme,2
414,Ayman,Touzz,Homme,2
415,Lina,Bout,Femme,2
416,Yousra,Touimi,Femme,1
417,Noureddine,Ouissaden,Homme,1
418,Zahia,Touza,Femme,2
419,Chaimae,Lahcen,Femme,1
420,Loubna,Zahri,Femme,1
421,Bilal,Mouline,Homme,1
422,Lotfi,Boun,Homme,1
423,Nisrine,Rchidi,Femme,1
424,Fatou,Sarr,Femme,1
425,Rida,Zouqi,Homme,1
426,Ahmed,Sbitri,Homme,1
427,Mahmoud,Zerouali,Homme,1
428,Sami,Mouline,Homme,2
429,Mansour,Zniber,Homme,1
430,Mame,Barry,Femme,1
431,Mahmoud,Tabit,Homme,2
432,David,Johansson,Homme,1
433,Taha,Chaouni,Homme,2
434,Meryem,Zniber,Femme,1
435,Ahmed,Ouissaden,Homme,2
436,Maimouna,Diop,Femme,2
437,Nabila,Lahlou,Femme,2
438,Zahra,El Ghalbi,Femme,2
439,Hafsa,Oulad,Femme,1
440,Mbarek,Zerouali,Homme,2
441,Jamila,Ghomri,Femme,1
442,Mbarek,Zoul,Homme,1
443,Idriss,Gueddari,Homme,1
444,Hiba,Bahi,Femme,1
445,Noureddine,Bour,Homme,2
446,Houssam,Had,Homme,2
447,Siham,El Fahime,Femme,2
448,Mahdi,Zouy,Homme,1
449,Habiba,El Khattabi,Femme,2
450,Nadia,Bahi,Femme,2
451,Sanaa,Zerhouni,Femme,1
452,Abdou,Naciri,Homme,2
453,Ismail,Bouaouina,Homme,1
454,Habiba,Laraki,Femme,2
455,Amal,Zouria,Femme,1
456,Yahya,Belkhadir,Homme,1
457,Reda,Ouled,Homme,1
458,Zahra,Zouitni,Femme,2
459,Rania,Benjelloun,Femme,2
460,Zahia,Zouhir,Femme,1
461,Ayman,Sakhi,Homme,1
462,Salsabil,Mansouri,Femme,1
463,Rania,Sbitri,Femme,1
464,Zara,Boun,Femme,2
465,Safia,Bouhlal,Femme,2
466,Latifa,Qadiri,Femme,1
467,Kamil,Boua,Homme,2
468,Rachida,Zouy,Femme,1
469,Sidi,Othmani,Homme,1
470,Rachida,Zahir,Femme,2
471,Fatima,Sabi,Femme,2
472,Mohammed,Slaoui,Homme,2
473,Taoufik,Ouassou,Femme,1
474,Aminata,Konaté,Femme,2
475,Ghita,Touji,Femme,2
476,Zouhair,Radi,Homme,1
477,Zara,Oulad,Femme,2
478,Daniel,Brown,Homme,2
479,Rida,El Moutaouakil,Homme,2
480,Karima,Radi,Femme,1
481,Thomas,Martin,Homme,1
482,Zohra,Rmil,Femme,2
483,Farid,Gharbaoui,Homme,1
484,Saadia,Zahri,Femme,1
485,Rayan,Soussi,Homme,1
486,Mokhtar,Sbaai,Homme,1
487,Rida,Rchid,Homme,2
488,Zahia,Joundy,Femme,2
489,Kadija,Konaté,Femme,1
490,Tariq,Samir,Homme,1
491,Jamal,Touzz,Homme,2
492,Mokhtar,Ham,Homme,1
493,Taha,Wardi,Homme,1
494,Mounir,El,Homme,1
495,Paolo,Conti,Homme,1
496,Saadia,Zaid,Femme,1
497,Mohammed,Zaid,Homme,2
498,Mamadou,Keita,Homme,2
499,Yasmina,Laraki,Femme,1
500,Khalid,Bouzoubaa,Homme,2
501,Awa,Gueye,Femme,2
502,Samira,El Boukili,Femme,1
503,Ali,Touijer,Homme,1
504,Mariama,Sarr,Femme,1
505,Fatima,Oulad,Femme,1
506,Mina,El Moutaouakil,Femme,2
507,Youssef,Ouahbi,Homme,2
508,Chakib,Bouzoubaa,Homme,2
509,Aminata,Diop,Femme,2
510,Kenza,El,Femme,2
511,Samir,Dah,Homme,2
512,Rim,Bout,Femme,2
513,Samira,Slaoui,Femme,2
514,Zakaria,El Yousfi,Homme,1
515,Yahya,Belkhadir,Homme,1
516,Zahia,Touhi,Femme,2
517,Aziz,Zoumir,Homme,1
518,Mounir,Joundy,Homme,2
519,Amine,Slaoui,Homme,2
520,Mariama,Savané,Femme,1
521,Saadia,Zouak,Femme,1
522,Fouad,Nouaman,Homme,1
523,Lotfi,Bout,Homme,2
524,Mounir,Zoubir,Homme,2
525,Latifa,Salmi,Femme,2
526,Yamina,Cherkaoui,Femme,2
527,Zara,Zouhair,Femme,1
528,Hassan,Othmani,Homme,1
529,Mehdi,Gue,Homme,2
530,Hassan,Mouline,Homme,1
531,Abdelali,Jabri,Homme,1
532,Julia,Martin,Femme,2
533,Hiba,Samir,Femme,1
534,Rida,Lamrani,Homme,2
535,Siham,Oujdi,Femme,2
536,Sidi,Touza,Homme,1
537,Meryem,Boua,Femme,1
538,Rachida,Ouali,Femme,1
539,Laila,El Hachimi,Femme,1
540,Bilal,Ghomri,Homme,1
541,Hajar,Bouzekri,Femme,1
542,Leila,Zouhair,Femme,1
543,Marwa,Cherkaoui,Femme,2
544,Meryem,El Amrani,Femme,2
545,Hicham,Abid,Homme,1
546,Hayat,Boul,Femme,1
547,Hicham,Qadiri,Homme,1
548,Sophie,Bernard,Femme,1
549,Modou,Kane,Homme,2
550,Céline,Dubois,Femme,1
551,Naima,Berrada,Femme,1
552,Nadia,Bouz,Femme,1
553,Amine,Zous,Homme,1
554,Michael,Fernandez,Homme,2
555,Tariq,Chemao,Homme,1
556,Hicham,Tabit,Homme,1
557,Wafa,Bout,Femme,1
558,Nicolas,Martin,Homme,1
559,Habiba,Touzy,Femme,2
560,Noura,Sabi,Femme,1
561,Marco,Ricci,Homme,2
562,Abdessamad,El,Homme,2
563,Zakaria,Bahi,Homme,1
564,Mokhtar,Boun,Homme,2
565,Sami,Kacem,Homme,1
566,Ahlam,Bouhout,Femme,1
567,Rokia,El Yousfi,Femme,1
568,Abdelaziz,Slaoui,Homme,1
569,Leila,Lahcen,Femme,1
570,Fayssal,Nacer,Homme,1
571,Fatou,Gueye,Femme,2
572,Salsabil,El Boukili,Femme,2
573,Miguel,Conti,Homme,2
574,Rayan,Kettani,Homme,1
575,Aminata,Konaté,Femme,1
576,Ghita,Touzi,Femme,1
577,Stefan,Moreau,Homme,1
578,Samira,Niama,Femme,2
579,Sara,Chaouni,Femme,2
580,Hassan,Ham,Homme,2
581,Yacine,Moustaquin,Homme,1
582,Khalid,Zouitni,Homme,1
583,Walid,Sbaai,Homme,2
584,Fadwa,El Hachimi,Femme,2
585,Taha,Oujdi,Homme,1
586,Marco,Schmidt,Homme,2
587,Céline,Moreau,Femme,2
588,Ihsane,Said,Femme,2
589,Mounir,Oulhaj,Homme,2
590,Bilal,Guennoun,Homme,2
591,Fernando,Simon,Homme,1
592,Abdoulaye,Traoré,Homme,1
593,Zakaria,Zouro,Homme,2
594,Mbarek,Amarir,Homme,2
595,Farid,Qadiri,Homme,1
596,Carlos,Martin,Homme,1
597,Chakib,Tijarti,Homme,2
598,Abdellah,Dahmani,Homme,1
599,Laila,El Moutaouakil,Femme,2
600,Laura,Simon,Femme,2
601,Nabila,Toufali,Femme,1
602,Mansour,Wahbi,Homme,1
603,Ihsane,Larbi,Femme,1
604,Khalid,Benjelloun,Homme,1
605,Pierre,Rossi,Homme,2
606,Soufiane,Zoux,Homme,1
607,Zouhair,Boul,Homme,2
608,Hatim,Zouria,Homme,1
609,Mariam,Nouaman,Femme,1
610,Leila,Benjelloun,Femme,2
611,Zineb,Toufi,Femme,1
612,Moussa,Keita,Homme,1
613,Nabil,Khalil,Homme,2
614,Malika,Touijer,Femme,1
615,Safae,Touzy,Femme,2
616,Souleymane,Camara,Homme,2
617,Tidiane,Traoré,Homme,1
618,Wassim,Kamil,Homme,1
619,Mahdi,Rais,Homme,1
620,Narjis,Touzi,Femme,2
621,Omar,Rais,Homme,1
622,Zineb,Tazi,Femme,1
623,Abdessamad,Khalil,Homme,1
624,Yassine,Rahmouni,Homme,2
625,Adam,El Yacoubi,Homme,2
626,Aziz,Ham,Homme,1
627,Habiba,Touz,Femme,2
628,Lina,Touzy,Femme,2
629,Zakaria,Zouw,Homme,2
630,Amina,Zerhouni,Femme,2
631,Kadija,Sarr,Femme,2
632,Boutaina,Zerhouni,Femme,1
633,Tariq,Jorio,Homme,2
634,Zouhair,Adouiri,Homme,2
635,Mbarek,Kouachi,Homme,2
636,Reda,Chaouni,Homme,1
637,Abdelhamid,Rifi,Homme,1
638,Abdelali,Touzy,Homme,2
639,Manal,Oukacha,Femme,2
640,Zara,Touzi,Femme,2
641,Habiba,Has,Femme,2
642,Noura,Khaldoune,Femme,2
643,Mohammed,Zouw,Homme,1
644,Hayat,Trimech,Femme,1
645,Widad,Fassi,Femme,1
646,Saadia,Jabri,Femme,2
647,Rokia,Zouw,Femme,2
648,Salma,Bouz,Femme,2
649,Kenza,Zouro,Femme,1
650,Ikram,Niama,Femme,2
651,Soukaina,Loukili,Femme,1
652,Khadija,Ait,Femme,2
653,Ali,Sefiani,Homme,2
654,Miguel,Moreau,Homme,1
655,Fayssal,Touimi,Homme,2
656,Zakaria,Sbaai,Homme,1
657,Yamina,Touzy,Femme,1
658,Houssam,El Mandjra,Homme,2
659,Khadija,Doukkali,Femme,1
660,Meryem,El Mandjra,Femme,2
661,Sira,Coulibaly,Femme,1
662,Ibrahim,Diaw,Homme,2
663,Abdellah,Touahri,Homme,2
664,Samir,Adouiri,Homme,1
665,Khalida,Ouali,Femme,1
666,Zahra,Zaid,Femme,1
667,Mounir,Has,Homme,2
668,Nathalie,Fernandez,Femme,2
669,Walid,Iraqi,Homme,2
670,Narjis,Hakimi,Femme,2
671,Farida,Naji,Femme,1
672,Mounir,Zahri,Homme,1
673,Mustapha,Zoux,Homme,1
674,Rokia,Wahbi,Femme,2
675,Nabil,Bous,Homme,1
676,Leila,Bouchentouf,Femme,1
677,Aziza,Touzi,Femme,1
678,Yacine,Zahir,Homme,1
679,Rayan,Nfissi,Homme,2
680,Mariam,Mechbal,Femme,2
681,Ismail,Chaouni,Homme,2
682,Fatima,Zouro,Femme,1
683,Adam,Zerhouni,Homme,1
684,Khadija,Mansouri,Femme,1
685,Abdelali,El Boukili,Homme,1
686,Mohammed,Bouzidi,Homme,2
687,Sira,Diaw,Femme,1
688,Ayoub,Touza,Homme,1
689,Rayan,Zouhir,Homme,2
690,Antoine,Brown,Homme,1
691,Wassim,Tahiri,Homme,2
692,Fayssal,Zout,Homme,1
693,Adil,Nfissi,Homme,2
694,Zouhair,Saih,Homme,1
695,Ibrahim,El Amrani,Homme,1
696,Sokhna,Coulibaly,Femme,1
697,Mina,Trimech,Femme,1
698,Wafa,Chraibi,Femme,2
699,Sanaa,Mechbal,Femme,1
700,Bilal,Bouzidi,Homme,2
701,Abdelkader,Yassi,Homme,2
702,Rida,Oulad,Homme,1
703,Soufiane,Harrak,Homme,2
704,Mbarek,Tourabi,Homme,1
705,Paolo,Rossi,Homme,2
706,Anna,Fernandez,Femme,2
707,Nezha,Tlemsani,Femme,1
708,Khadija,Said,Femme,1
709,Rajae,Touzi,Femme,2
710,Lotfi,Mrani,Homme,1
711,Walid,Ait,Homme,1
712,Marwa,Jebli,Femme,2
713,Omar,Naji,Homme,1
714,Oumar,Camara,Homme,2
715,Sidi,Khalil,Homme,2
716,Rida,Fennir,Homme,1
717,Yacine,Kacem,Homme,2
718,Moussa,Loukili,Homme,1
719,Zakaria,Rchidi,Homme,1
720,Zahra,Tougi,Femme,1
721,Lina,Touzani,Femme,2
722,Patricia,Schmidt,Femme,2
723,Ingrid,Lopez,Femme,2
724,Karim,Zaid,Homme,2
725,Nezha,Touimi,Femme,2
726,Farid,Habti,Homme,2
727,Yacine,Touzz,Homme,2
728,Naji,Zniber,Homme,1
729,Ines,Touzi,Femme,1
730,Ismail,Zous,Homme,2
731,Aminata,Camara,Femme,1
732,Aicha,Hammoudi,Femme,1
733,Issa,Fall,Homme,1
734,Nabila,Touz,Femme,2
735,Fadwa,Touzi,Femme,2
736,Antoine,Laurent,Homme,1
737,Fouad,Gue,Homme,2
738,Yousra,Zoun,Femme,1
739,Soufiane,Harrak,Homme,1
740,Sami,Nfissi,Homme,2
741,Mohammed,Bouz,Homme,1
742,Yassine,Boudra,Homme,1
743,Abdelali,El Idrissi,Homme,2
744,Aicha,Ham,Femme,2
745,Malika,Dahmani,Femme,2
746,Zohra,Slaoui,Femme,1
747,Abdou,Bouzidi,Homme,2
748,Ilham,Zouhair,Femme,1
749,Karima,Saih,Femme,2
750,Salah,Sebti,Homme,1
751,Mehdi,Radi,Homme,1
752,Rachid,Touijer,Homme,2
753,Yousra,Cherkaoui,Femme,2
754,Michael,Brown,Homme,2
755,Hanane,Belkhadir,Femme,1
756,Selma,Dah,Femme,2
757,Zineb,Sassi,Femme,1
758,Driss,Oulad,Homme,1
759,Houssam,Kabbaj,Homme,1
760,Kawtar,Ouali,Femme,2
